Status;"Item de Alto Custo (R$)";"Em Falta";"Alto desvio (15 a 30)";"Item VMI";Importado;"Possui Vínculo EAN";Dependência;Contrato;Consignado;Atrasado;Salvos;"Cod Item";"Desc Item";Estab;"Dt Email";Fornec;"Nova Data Ent";Obs.;"NF - Núm";"OC - Núm";"OC - Obs";"NF - Criação";Motivo.;"OC - Id";"Cód. Externo";"IDC GTPlan";"OC - Criação";"OC - Entrega";"Depósito padrão de recebimento";"Prazo OC (dias)";"Dias Atraso";Sinalizador;"LT Compras";"LT Fornecedor";"Vl. Unit. (R$)";"Valor total (R$)";Excesso;"Excesso (R$)";"Valor Pendente";"Qtd. Total";"OC - Qtd Rec";"Qtd Pend";"QT Mult Emb";"Num. Emb.";"QT Reserva";Un;Usuário;"Dt Ult Analise";"Estoq Tot";"Estoq Disp";"Prev Dia";"Prev Mês";Cobertura;"Média dia (7d)";"Reserva 30 Dias";"Média dia (15d)";"Média dia (30d)";"Cob. Pior caso";"Est. Indisponível";"Rup D-30";"Mape (%)";"Média Cons. 120D R$";" PME";"Cons. 120D R$";Gestor;Comprador;Mín;Máx.;"Cod Item Corp.";"Cód. Fornec.";Política;"Ruptura M-1";XYZ;123;ABC;PQR;"Tipo de Pedido";Categoria;Especie;Classe;Subclasse;Fabricante;Fornecedor;Planejável;Volumoso;"Covid 19";Indicador;"Gabarito MV - DRP";"Classificação PME"
Ativo;Não;Não;Não;Não;Não;Não;"Sem dependência";Não;Não;Não;Não;43462;"reator driver led embutir/sobrepor plafon 18w/25w und";I-8-HAC;;"cia distribuicao";07/05/2026;;;599553;"MV HOSPITAIS OPEX";;"Sem Motivo";599553.43462.22022022;0;;22/02/2022;07/05/2026;;1535;0;Ideal;3;7;"R$ 19,90";"R$ 199,00";0;"R$ 0,00";"R$ 199,00";10;0;10;1;;0;UNIDADE;;;30;0;0;0;0;0;0;0;0;999;30;0;;;;;sysadmin;;0;0;;216484;"5899-HAC DIVERSOS C ";0;X;2;C;R;;div;"9-material manut eng predial";"9->1-engenharia predial";"9->1->3-eletrica e iluminacao";#;#;NÃO;#;#;#;#;Diversos
Ativo;Não;Sim;Não;Não;Não;Não;"Sem dependência";Não;Não;Não;Não;104650;"quetipin 25mg comp rev-quetiapina";I-8-HAC;07/05/2026;"l - cristalia";11/05/2026;;;971587;;;"Sem Motivo";971587.104650.11052026;0;;27/04/2026;11/05/2026;"352 - recebimento cadi";14;0;"Muito Baixo";0;5;"R$ 0,55";"R$ 445,50";0;"R$ 0,00";"R$ 445,50";810;0;810;1;;0;"COMP C/25MG";;;6;5;28,93;867,9;0;53,43;0;44,87;35,6;0;1;0;;17.37;.18999367;2084.5;danilo.senna1;;290;1.160;;700679;"6297-BSB - Smooth C";0;X;2;C;P;;med;1-medicamento;"1->24-portaria 344";"1->24->3-farmaco psicotropico";#;#;MED;#;#;#;#;Medicamentos
Ativo;Não;Sim;Não;Não;Não;Não;"Sem dependência";Sim;Não;Não;Não;201002;"lokelma 5g sache (zirconio sodico)";I-8-HAC;;mafra;11/05/2026;;;971652;;;"Sem Motivo";971652.201002.11052026;0;;27/04/2026;11/05/2026;"501 - recebimento farmacia";14;0;"Muito Alto";0;2;"R$ 50,53";"R$ 4.547,85";4,5;"R$ 250,90";"R$ 4.547,85";90;0;90;1;;0;"SACHE C/5G";;;340;318;11,82;354,5;27;10,06;0;11,69;13,65;23;22;0;;652.07;29.059829;78247.97;danilo.senna1;;119;209;;79519;"6295-BSB - Smooth A";0;X;1;A;P;;med;1-medicamento;1->23-diversos;1->23->2-diversos;#;#;MED;#;#;#;#;Medicamentos
Ativo;Sim;Não;Não;Não;Não;Não;"Sem dependência";Sim;Não;Não;Não;213759;"kit bypass s/energia-brkblep2amv20";I-8-HAC;;"johnson e johnson";19/05/2026;;;973596;;;"Sem Motivo";973596.213759.19052026;0;;04/05/2026;19/05/2026;"501 - recebimento farmacia";15;0;"Muito Baixo";0;10;"R$ 3.586,05";"R$ 7.172,10";0;"R$ 0,00";"R$ 7.172,10";2;0;2;1;;0;UNIDADE;;;1;1;0,13;3,8;8;0;0;0,07;0,13;8;0;0;;329.16;11.111111;39498.8;julivan.santos;;4;5;;80850;"5655-PROJETO CAV";0;X;2;A;R;;mat;8-opme;8->1-opme;8->1->16-diversos;jj;#;MAT;#;#;#;#;#
Ativo;Não;Não;Não;Não;Não;Não;"Sem dependência";Sim;Não;Não;Não;33980;"fio sutura absorv stratafix pds 2-0 30cm c/1 agu-sxpp1b410";I-8-HAC;;"johnson e johnson";13/05/2026;;;973597;;;"Sem Motivo";973597.33980.13052026;0;;04/05/2026;13/05/2026;"501 - recebimento farmacia";9;0;Alto;0;6;"R$ 122,89";"R$ 1.474,71";0;"R$ 0,00";"R$ 1.474,71";12;0;12;1;;0;UNIDADE;;;50;50;1,36;40,8;37;0,86;0;1,67;1,17;30;0;0;;172.96;35.211268;20755.3;julivan.santos;;20;44;;80850;"5884-FIOS BSB";0;X;2;A;Q;;mat;"4-fios sutura";"4->1-fios sutura";"4->1->1-fios sutura";#;"JOHNSON & JOHNSON DO BRASIL INDUSTRIA E CO";MAT;não;Não;Regular;#;"Mat. Médicos"
